"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"HEAD KORE 93 24/25 SKI",93,164,"133, 93, 115",1700,"163, 184","569.00","https://www.sport-conrad.com/produkte/head/kore-93-sc.html"
"ARMADA ARV 116 JJ UL 24/25 SKI",116,18,"139, 116, 135",1725,"165, 175, 185","499.00","https://www.sport-conrad.com/produkte/armada/arv-116-jj-ul-sc-1.html"
"ARMADA STRANGER 24/25 SKI",100,158,"140, 100, 140",2100,"172, 180","449.00","https://www.sport-conrad.com/produkte/armada/stranger-sc.html"
"ARMADA ARV 100 24/25 SKI",100,18,"128, 100, 120",1700,"165, 172","399.00","https://www.sport-conrad.com/produkte/armada/arv-100-sc.html"
"BLIZZARD ANOMALY 84 24/25 SKI",84,16,"124, 5, 84, 107, 5",1900,"170","559.00","https://www.sport-conrad.com/produkte/blizzard/anomaly-84.html"
"NORDICA SANTA ANA 97 24/25 SKI DAMEN",97,165,"126, 97, 114",1900,"155, 161, 167, 173","499.00","https://www.sport-conrad.com/produkte/nordica/santa-ana-97.html"
"SALOMON QST 98 24/25 SKI",98,17,"133, 98, 121",1990,"183, 189","429.00","https://www.sport-conrad.com/produkte/salomon/qst-98-sc.html"
"K2 MINDBENDER 106C W 24/25 SKI DAMEN",106,157,"138, 106, 127",,"162, 176","399.00","https://www.sport-conrad.com/produkte/k2/mindbender-106c-w-sc-1.html"
"K2 MINDBENDER 106C 24/25 SKI",106,189,"138, 106, 127",2090,"176, 183, 189","399.00","https://www.sport-conrad.com/produkte/k2/mindbender-106c-sc-3.html"
"BLACK CROWS ATRIS 24/25 SKI",105,20,"140, 105, 123",1975,"172, 178, 184, 190","699.00","https://www.sport-conrad.com/produkte/black-crows/atris-sc-4.html"
"BLACK CROWS CAPTIS BIRDIE 24/25 SKI DAMEN",90,17,"127, 90, 113",1625,"172","449.00","https://www.sport-conrad.com/produkte/black-crows/captis-birdie-sc.html"
"ATOMIC MAVEN 86 24/25 SKI DAMEN",87,147,"123, 78, 5, 106, 5",1325,"153, 169","349.00","https://www.sport-conrad.com/produkte/atomic/maven-86-sc-2.html"
"SALOMON STANCE 96 24/25 SKI",96,20,"132, 96, 114",1920,"188","499.00","https://www.sport-conrad.com/produkte/salomon/stance-96-sc.html"
"FACTION PRODIGY 0 24/25 SKI",85,13,"117, 85, 109",1660,"150, 157, 164, 171","249.00","https://www.sport-conrad.com/produkte/faction/prodigy-0-sc-1.html"
"NORDICA ENFORCER 104 24/25 SKI",104,185,"135, 104, 125",2130,"179, 185, 191","549.00","https://www.sport-conrad.com/produkte/nordica/enforcer-104.html"
"DYNASTAR M-FREE 90 24/25 SKI",90,14,"122, 90, 112",1350,"167, 177","329.00","https://www.sport-conrad.com/produkte/dynastar/m-free-90-sc.html"
"BLIZZARD BLACK PEARL 88 24/25 SKI",88,14,"126, 5, 88, 108, 5",1610,"152","630.00","https://www.sport-conrad.com/produkte/blizzard/black-pearl-88-sc.html"
"VÖLKL MANTRA 102 24/25 SKI",102,19,"146, 102, 124",2200,"184, 191","599.00","https://www.sport-conrad.com/produkte/voelkl/mantra-102-sc.html"
"FISCHER RANGER 90 24/25 SKI",90,16,"124, 90, 114",1750,"163","499.00","https://www.sport-conrad.com/produkte/fischer/ranger-90-sc-2.html"
"ELAN RIPSTICK 102 24/25 SKI",102,188,"138, 102, 118",1720,"175, 189","549.00","https://www.sport-conrad.com/produkte/elan/ripstick-102-sc.html"
"BLACK CROWS CAMOX BIRDIE JR 24/25 SKI KINDER",90,17,"118, 90, 106",1375,"149, 157, 164","469.00","https://www.sport-conrad.com/produkte/black-crows/camox-birdie-jr-sc.html"
"ZAG SLAP 98 W 24/25 SKI DAMEN",98,20,"130, 98, 116, 5",1900,"160, 166","449.00","https://www.sport-conrad.com/produkte/zag/slap-98-w.html"
"VÖLKL REVOLT 96 24/25 SKI",96,20,"126, 96, 117",2030,"181","299.00","https://www.sport-conrad.com/produkte/voelkl/revolt-96-sc.html"
"VÖLKL BLAZE 114 24/25 SKI",114,18,"154, 114, 136",1945,"176, 184, 192","599.00","https://www.sport-conrad.com/produkte/voelkl/blaze-114-sc.html"
"BLIZZARD BLACK PEARL 84 24/25 SKI",84,15,"123, 5, 84, 106, 5",1640,"164, 170","585.00","https://www.sport-conrad.com/produkte/blizzard/black-pearl-84.html"
"LINE OPTIC 104 24/25 SKI",104,190,"132, 104, 123",2000,"178, 190","449.00","https://www.sport-conrad.com/produkte/line/optic-104.html"
"LINE BACON SHORTY 23/24 SKI KINDER",107,14,"133, 107, 129",1645,"155, 165","249.00","https://www.sport-conrad.com/produkte/line/bacon-shorty.html"
"KÄSTLE PARAGON 101 24/25 SKI",101,18,"135, 101, 122",1986,"176, 182","699.00","https://www.sport-conrad.com/produkte/kaestle/paragon-101.html"
"NORDICA ENFORCER 104 24/25 SKI",104,185,"135, 104, 125",2130,"179, 185, 191","549.00","https://www.sport-conrad.com/produkte/nordica/enforcer-104.html"
"ARMADA ARV 112 24/25 SKI",112,21,"135, 112, 130",2100,"175, 185, 192","499.00","https://www.sport-conrad.com/produkte/armada/arv-112.html"
"BLIZZARD ANOMALY 88 24/25 SKI",88,16,"127, 5, 88, 109, 5",2000,"182","599.00","https://www.sport-conrad.com/produkte/blizzard/anomaly-88.html"
